Tmod,Tmod2
0,-0.999999742770064
0,-0.999998971080387
0,-0.999997684931368
0,-0.999995884323667
0,-0.99999356925821
0,-0.99999073973619
0,-0.999987395759061
0.000425616960514523,-0.999983537328544
0.0760705546429357,-0.999979164446624
0.19483975883031,-0.999974277115551
0.29040004843502,-0.999968875337838
0.354691590412958,-0.999962959116266
0.380194727652416,-0.999956528453876
0.363394609767826,-0.999949583353979
0.306680457606466,-0.999942123820147
0.216906869782809,-0.999934149856217
0.102403592201636,-0.999925661466291
0.0056013546420914,-0.999916658654738
0,-0.999907141426188
0,-0.999897109785537
0,-0.999886563737947
0,-0.999875503288842
0,-0.999863928443914
0,-0.999851839209116
0,-0.999839235590669
0,-0.999826117595056
0,-0.999812485229026
0,-0.999798338499593
0,-0.999783677414033
0,-0.999768501979891
0,-0.999752812204972
0.000404095179996132,-0.999736608097349
0.0758703914281654,-0.999719889665359
0.194863320220682,-0.999702656917601
0.29075332240435,-0.999684909862942
0.355377976865006,-0.999666648510511
0.381249232676778,-0.999647872869704
0.364756034627038,-0.99962858295018
0.308243332717275,-0.999608778761862
0.218634631642435,-0.99958846031494
0.104148887747881,-0.999567627619866
0.00614053164403127,-0.999546280687357
0,-0.999524419528397
0,-0.999502044154231
0,-0.99947915457637
0,-0.999455750806592
0,-0.999431832856935
0,-0.999407400739705
0,-0.999382454467471
0,-0.999356994053067
0,-0.999331019509591
0,-0.999304530850406
0,-0.999277528089139
0,-0.999250011239683
0,-0.999221980316194
0.000379996834261242,-0.999193435333092
0.0757453746877795,-0.999164376305063
0.194976172959981,-0.999134803247056
0.291181600190498,-0.999104716174285
0.356164765580478,-0.99907411510223
0.38238470847508,-0.999043000046633
0.366196783524957,-0.999011371023501
0.309897084691673,-0.998979228049107
0.220395165812511,-0.998946571139986
0.10599295899909,-0.99891340031294
0.00669432033668821,-0.998879715585034
0,-0.998845516973596
0,-0.998810804496221
0,-0.998775578170766
0,-0.998739838015356
0,-0.998703584048375
0,-0.998666816288476
0,-0.998629534754574
0,-0.998591739465849
0,-0.998553430441744
0,-0.99851460770197
0,-0.998475271266497
0,-0.998435421155564
0,-0.998395057389672
0.000370690106931854,-0.998354179989585
0.0756860088748695,-0.998312788976334
0.195172706798548,-0.998270884371214
0.291702651540623,-0.998228466195781
0.357030497629245,-0.998185534471859
0.383615135379218,-0.998142089221534
0.367722390025034,-0.998098130467157
0.311606570371702,-0.998053658231343
0.222252909147743,-0.998008672536971
0.107848066723305,-0.997963173407185
0.00731224733974517,-0.997917160865392
0,-0.997870634935264
0,-0.997823595640736
0,-0.997776043006008
0,-0.997727977055545
0,-0.997679397814073
0,-0.997630305306586
0,-0.997580699558339
0,-0.997530580594852
0,-0.997479948441911
0,-0.997428803125562
0,-0.997377144672118
0,-0.997324973108155
0,-0.997272288460515
0.00036549727249315,-0.997219090756299
0.0756828745442644,-0.997165380022878
0.195468830384133,-0.997111156287882
0.292292304830023,-0.997056419579208
0.357998691667397,-0.997001169925015
0.38493196275914,-0.996945407353728
0.369323996969211,-0.996889131894033
0.313416871177577,-0.996832343574883
0.22414066260504,-0.996775042425492
0.109791272467072,-0.99671722847534
0.00796555503685121,-0.99665890175417
0,-0.996600062291988
0,-0.996540710119066
0,-0.996480845265936
0,-0.996420467763399
0,-0.996359577642514
0,-0.996298174934608
0,-0.99623625967127
0,-0.996173831884352
0,-0.996110891605973
0,-0.996047438868511
0,-0.99598347370461
0,-0.995918996147179
0,-0.995854006229388
0.000364228377536235,-0.995788503984672
0.0757767753670728,-0.995722489446729
0.195834354234526,-0.995655962649521
0.292979970508665,-0.995588923627273
0.359050527397335,-0.995521372414475
0.386336131198813,-0.995453309045879
0.371012433039968,-0.9953847335565
0.315286286690199,-0.995315645981618
0.226103538465297,-0.995246046356775
0.111774509412709,-0.995175934717779
0.00866163357431086,-0.995105311100698
0,-0.995034175541865
0,-0.994962528077877
0,-0.994890368745595
0,-0.994817697582139
0,-0.994744514624898
0,-0.994670819911521
0,-0.994596613479921
0,-0.994521895368273
0,-0.994446665615018
0,-0.994370924258859
0,-0.99429467133876
0,-0.994217906893952
0,-0.994140630963926
0.000366854603519433,-0.994062843588438
0.0759696350150174,-0.993984544807506
0.196268712664619,-0.993905734661411
0.293768771117873,-0.9938264131907
0.360185452937115,-0.993746580436178
0.387827134496129,-0.993666236438917
0.372787341918415,-0.993585381240252
0.317220462293067,-0.993504014881777
0.228133144082803,-0.993422137405354
0.113819197510616,-0.993339748853104
0.0093781188944393,-0.993256849267414
0,-0.993173438690932
0,-0.99308951716657
0,-0.993005084737501
0,-0.992920141447162
0,-0.992834687339255
0,-0.99274872245774
0,-0.992662246846845
0,-0.992575260551056
0,-0.992487763615126
0,-0.992399756084067
0,-0.992311238003156
0,-0.992222209417932
0,-0.992132670374197
0.000373346068000442,-0.992042620918015
0.076243224033961,-0.991952061095712
0.196791109539673,-0.991860990953879
0.294627865428854,-0.991769410539367
0.361423395339342,-0.99167731989929
0.389403850749001,-0.991584719081026
0.374630792983824,-0.991491608132213
0.31925595035297,-0.991397987100754
0.230184991510181,-0.991303856034814
0.115935175661616,-0.991209214982817
0.0101800506995447,-0.991114063993455
0,-0.991018403115677
0,-0.990922232398698
0,-0.990825551891994
0,-0.990728361645303
0,-0.990630661708625
0,-0.990532452132223
0,-0.990433732966622
0,-0.990334504262609
0,-0.990234766071233
0,-0.990134518443806
0,-0.990033761431901
0,-0.989932495087353
0,-0.98983071946226
0.000391587219374724,-0.989728434608981
0.0765541124844629,-0.989625640580138
0.197415451660787,-0.989522337428614
0.295582977523336,-0.989418525207554
0.362734816096062,-0.989314203970366
0.39107255476544,-0.989209373770719
0.3765712006912,-0.989104034662544
